OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,LotArea,Neighborhood,HouseStyle,CentralAir,SalePrice
5,760,0,1435,2,1957,2400,Suburb,1Story,Y,188628.0
1,2546,3,1341,2,2014,12416,Downtown,Bungalow,Y,328476.0
10,1972,1,680,2,1979,5412,Suburb,1Story,Y,389210.0
10,1947,1,1988,3,1998,18440,Downtown,Bungalow,N,481568.0
1,959,2,1491,3,1958,3875,Downtown,Bungalow,N,202623.0
2,4247,3,424,1,1966,6298,Riverside,Bungalow,Y,366438.0
6,800,3,1968,1,2018,5768,Suburb,Bungalow,Y,294638.0
9,3466,1,1712,2,2007,7752,Suburb,1Story,Y,505233.0
8,3874,1,2434,1,2006,14489,Downtown,SplitLevel,Y,510208.0
5,2834,3,777,1,2011,3353,Suburb,Bungalow,Y,352028.0
1,3966,0,2145,1,2001,8597,Uptown,2Story,Y,376128.0
7,3581,3,1826,1,2010,16691,Rural,Bungalow,Y,432572.0
5,4278,3,207,1,1989,6311,Uptown,1Story,Y,430606.0
6,1129,1,1537,2,1987,17307,Suburb,Bungalow,Y,295395.0
7,769,1,1659,2,1992,12794,Suburb,2Story,Y,298657.0
3,3139,0,2213,1,2012,4934,Suburb,1Story,N,330980.0
10,2493,0,21,2,1968,18406,Suburb,Bungalow,Y,424527.0
3,2128,2,153,3,1999,12394,Uptown,2Story,Y,313280.0
5,2301,3,1962,1,1982,19593,Suburb,1Story,Y,372532.0
6,3391,1,218,3,1962,10940,Rural,Bungalow,Y,372290.0
9,1361,0,668,2,2011,19188,Downtown,2Story,Y,390309.0
5,3932,2,1518,2,1992,10325,Rural,1Story,Y,398060.0
1,1780,2,2277,3,1998,12629,Riverside,Bungalow,Y,282836.0
4,2680,1,2067,2,1985,7141,Rural,1Story,Y,296010.0
5,3847,1,949,1,1959,5671,Rural,2Story,Y,385845.0
10,2299,2,2195,3,1955,9292,Riverside,Bungalow,Y,471744.0
10,2206,0,402,1,2006,17438,Rural,Bungalow,Y,328933.0
5,3519,2,595,3,1950,14231,Suburb,Bungalow,Y,413788.0
7,3060,3,2414,2,2020,16511,Suburb,2Story,Y,445358.0
4,2860,3,1437,3,2007,13109,Uptown,SplitLevel,Y,408614.0
1,1075,1,1157,3,1970,10444,Uptown,Bungalow,N,168871.0
5,3433,0,1742,1,2005,17605,Suburb,2Story,Y,395141.0
7,2503,0,1306,2,1969,15026,Suburb,1Story,N,382138.0
10,1807,3,72,1,2003,11321,Riverside,1Story,Y,421656.0
10,3692,2,480,2,1974,7435,Downtown,2Story,N,512614.0
6,3678,1,559,1,1977,10493,Suburb,SplitLevel,Y,411121.0
5,2456,2,744,3,1954,8691,Downtown,2Story,Y,344993.0
4,3234,2,1466,1,1970,4763,Uptown,1Story,N,375409.0
2,2520,2,99,2,1967,5241,Downtown,1Story,Y,307306.0
4,3775,0,1082,2,1996,5057,Rural,Bungalow,Y,383197.0
10,2712,3,2305,3,2019,18934,Downtown,SplitLevel,Y,536013.0
10,2852,0,412,2,2006,7574,Rural,2Story,Y,395506.0
3,4068,3,1088,1,1968,7411,Uptown,1Story,Y,409188.0
10,2155,1,1177,3,2014,3587,Suburb,1Story,Y,425124.0
1,2079,1,2008,2,1952,12014,Suburb,1Story,N,257334.0
8,2347,2,2313,2,1991,7920,Suburb,2Story,Y,429439.0
5,2703,3,820,1,1970,13688,Suburb,2Story,N,360416.0
4,1890,3,661,1,1989,6409,Uptown,SplitLevel,N,272267.0
8,2242,3,559,3,2016,7783,Suburb,Bungalow,Y,356767.0
7,2425,2,1271,2,1974,2712,Uptown,Bungalow,Y,378347.0
2,1119,2,1813,1,2004,7406,Suburb,Bungalow,Y,223583.0
1,1774,1,609,3,2001,14041,Suburb,1Story,Y,222912.0
4,1456,0,2461,2,1993,4433,Suburb,Bungalow,Y,265954.0
8,2439,3,24,2,2005,5301,Rural,1Story,Y,347033.0
2,4453,3,2028,3,2004,18654,Suburb,SplitLevel,Y,460318.0
3,2881,0,283,3,2019,13586,Uptown,1Story,Y,322689.0
1,4213,3,1472,1,2022,19463,Suburb,SplitLevel,Y,400782.0
1,1468,2,300,2,2015,7322,Downtown,SplitLevel,Y,239170.0
3,3058,2,1091,2,1968,15932,Uptown,Bungalow,Y,371628.0
5,1816,3,1030,2,1956,7257,Uptown,Bungalow,Y,339594.0
3,1543,2,816,3,2012,15733,Downtown,1Story,Y,334646.0
1,781,2,82,1,1991,15368,Rural,2Story,N,111757.0
1,3344,3,1920,2,1991,11777,Suburb,Bungalow,Y,319286.0
8,3572,1,2093,3,2008,13249,Uptown,Bungalow,Y,503965.0
10,2666,0,617,2,1969,14881,Riverside,2Story,Y,410162.0
2,1558,2,2309,1,2022,11587,Riverside,2Story,N,317869.0
3,697,1,175,2,1966,10791,Uptown,Bungalow,Y,184728.0
2,3032,2,1189,1,1976,10705,Suburb,2Story,Y,321855.0
3,4328,2,841,1,1996,11258,Uptown,1Story,N,428558.0
7,1582,0,369,2,1951,9833,Suburb,SplitLevel,Y,292549.0
1,3384,2,1818,2,2012,16245,Downtown,SplitLevel,Y,419598.0
10,1684,0,2101,1,2011,17754,Suburb,Bungalow,Y,401534.0
8,1508,0,689,3,1968,11280,Riverside,Bungalow,N,316517.0
10,3238,0,1779,1,1966,14577,Riverside,1Story,Y,467036.0
10,1729,1,1364,2,2018,4514,Downtown,2Story,Y,436796.0
10,1535,3,1432,2,1988,5969,Uptown,Bungalow,Y,409572.0
2,989,1,366,3,2020,6566,Uptown,SplitLevel,Y,203267.0
3,775,3,643,1,1988,4196,Suburb,1Story,Y,205799.0
9,3240,3,2426,1,1985,19173,Suburb,1Story,Y,510618.0
7,2789,0,72,1,1989,13345,Uptown,2Story,Y,381622.0
4,1739,2,1271,2,1994,3309,Suburb,Bungalow,Y,294722.0
10,1774,0,859,1,1953,2864,Downtown,Bungalow,Y,381267.0
5,4382,2,42,3,1974,14055,Uptown,1Story,Y,448228.0
2,625,3,2424,2,2018,7389,Riverside,SplitLevel,Y,256510.0
8,716,0,1064,2,1979,13716,Rural,Bungalow,Y,242583.0
4,3877,2,2217,1,2017,13978,Uptown,SplitLevel,Y,436709.0
9,4368,1,2259,3,1978,5003,Suburb,1Story,Y,548664.0
5,1708,2,1516,2,2022,16174,Downtown,Bungalow,Y,359903.0
9,3610,0,2086,2,2017,15772,Rural,SplitLevel,Y,493013.0
4,1746,1,368,1,2000,19615,Suburb,1Story,Y,286661.0
10,3755,2,150,1,1973,9959,Riverside,SplitLevel,Y,483006.0
5,3042,2,1134,3,1963,13980,Downtown,Bungalow,Y,424153.0
9,2974,2,1503,1,2018,8581,Suburb,2Story,N,481827.0
8,3749,2,1459,3,1967,18805,Suburb,SplitLevel,Y,500997.0
3,1418,2,1070,2,1991,11965,Riverside,2Story,Y,277363.0
1,3999,1,1023,3,2006,13760,Downtown,Bungalow,N,381924.0
3,1817,3,1598,3,1961,16922,Downtown,2Story,Y,363246.0
4,4423,1,2040,3,1966,2946,Suburb,1Story,Y,453053.0
2,2698,1,1389,2,1979,3564,Uptown,2Story,Y,298433.0
1,2931,1,68,1,1972,9332,Suburb,SplitLevel,Y,283369.0
7,2161,3,2346,2,1950,6944,Suburb,SplitLevel,Y,383662.0
8,4384,0,943,1,1981,18057,Downtown,2Story,Y,507760.0
7,807,3,801,3,1958,15877,Uptown,1Story,Y,309643.0
5,1859,1,2343,3,1964,12139,Downtown,Bungalow,Y,377679.0
1,2469,2,2250,3,1977,3308,Suburb,2Story,Y,276354.0
7,3293,2,60,3,1973,18770,Suburb,SplitLevel,N,395823.0
7,1391,1,945,3,2009,5258,Rural,SplitLevel,Y,278409.0
9,874,2,1337,1,1984,6811,Uptown,2Story,Y,335884.0
3,3579,1,1184,1,1976,8697,Suburb,2Story,Y,339271.0
9,2533,2,330,3,1969,17775,Riverside,2Story,Y,425468.0
1,1864,3,1551,2,2014,13039,Riverside,Bungalow,Y,298052.0
1,628,0,337,2,1998,3439,Suburb,SplitLevel,Y,134686.0
4,1514,0,1629,3,1950,13634,Uptown,SplitLevel,Y,279566.0
9,2299,3,1327,1,1959,2055,Uptown,SplitLevel,Y,406350.0
6,3216,3,1526,2,1996,2105,Riverside,Bungalow,Y,424383.0
3,3923,1,1673,2,2008,5201,Suburb,1Story,Y,388310.0
1,1881,1,1361,2,2011,17184,Suburb,SplitLevel,N,244698.0
4,1016,1,1573,3,1967,2669,Suburb,SplitLevel,N,241647.0
9,2018,2,274,2,1995,14663,Riverside,1Story,Y,401920.0
3,585,1,1187,2,1981,2966,Suburb,Bungalow,Y,188061.0
9,1698,3,2366,2,1976,18691,Suburb,1Story,Y,438948.0
7,4373,0,2434,2,1967,13656,Suburb,1Story,Y,520929.0
4,3764,2,1993,1,1988,17893,Suburb,1Story,N,393655.0
3,2858,1,869,3,1998,15089,Rural,1Story,Y,279920.0
10,1642,2,1014,3,1993,18493,Downtown,Bungalow,Y,437988.0
5,3789,2,1911,1,2021,5632,Suburb,Bungalow,N,433110.0
5,2974,1,602,1,2003,7684,Riverside,1Story,N,359676.0
3,2493,2,1799,3,1983,15266,Suburb,2Story,Y,352705.0
9,3985,0,690,2,2020,18940,Uptown,2Story,Y,510500.0
4,2661,3,493,2,1985,2104,Downtown,2Story,Y,326520.0
5,3716,3,489,3,1967,4047,Suburb,2Story,Y,380829.0
4,4109,0,389,2,1987,18529,Uptown,SplitLevel,Y,425140.0
5,4219,2,294,1,2008,19257,Uptown,Bungalow,Y,473137.0
7,802,1,1392,2,1958,18682,Suburb,Bungalow,Y,260771.0
9,3291,2,1717,2,2022,10837,Riverside,1Story,Y,521360.0
7,4452,0,648,2,2021,17407,Riverside,SplitLevel,Y,505200.0
5,1087,2,1873,3,2000,8382,Riverside,1Story,Y,305762.0
10,1486,3,567,1,1984,2783,Suburb,1Story,Y,350042.0
10,2363,2,444,2,1954,2370,Downtown,Bungalow,Y,452467.0
7,844,0,362,3,1963,17908,Rural,SplitLevel,Y,252877.0
10,1313,3,2170,2,1979,2486,Rural,2Story,Y,364406.0
5,2487,2,1211,1,1953,16500,Downtown,Bungalow,Y,363684.0
3,3348,2,741,2,1988,5196,Uptown,SplitLevel,Y,386367.0
7,3572,3,2041,1,2013,11552,Downtown,SplitLevel,Y,506963.0
2,3718,1,679,2,1974,4261,Suburb,Bungalow,Y,333147.0
9,1810,3,2467,1,1977,12813,Suburb,Bungalow,Y,411305.0
10,2499,1,1642,2,2015,11148,Uptown,1Story,Y,456024.0
10,2177,0,1572,1,1971,10572,Suburb,1Story,Y,403129.0
1,3624,0,1358,2,1980,17008,Uptown,1Story,Y,361446.0
6,1827,3,2139,2,1972,15085,Rural,2Story,Y,322868.0
7,1592,3,62,3,1997,18622,Uptown,Bungalow,Y,366344.0
8,2908,0,1162,3,1969,8843,Riverside,SplitLevel,N,413022.0
10,4173,1,1228,1,1987,3105,Rural,Bungalow,Y,487559.0
9,3791,0,255,2,2004,19770,Riverside,SplitLevel,Y,483976.0
2,1509,3,134,1,2017,12441,Downtown,2Story,Y,270835.0
10,1203,0,874,3,1950,11719,Suburb,Bungalow,Y,346781.0
2,1074,3,821,1,1956,4691,Downtown,SplitLevel,Y,222503.0
5,2108,3,2135,1,2006,13864,Suburb,SplitLevel,Y,345856.0
5,3732,0,822,3,1961,3996,Uptown,1Story,Y,390055.0
6,4252,1,973,2,1954,3425,Downtown,2Story,Y,469795.0
3,1612,2,1777,1,1999,18378,Suburb,Bungalow,Y,279937.0
8,1187,0,120,3,1991,8849,Rural,1Story,N,254530.0
1,3328,2,1637,2,1961,5247,Rural,2Story,Y,294013.0
6,3132,0,1364,3,1967,3490,Suburb,1Story,Y,392167.0
4,4328,2,1007,1,2015,19608,Uptown,Bungalow,Y,479968.0
1,3136,1,924,2,1966,16310,Downtown,SplitLevel,Y,325037.0
7,3730,1,644,2,2017,19216,Suburb,Bungalow,Y,467795.0
9,988,0,2032,3,2020,17401,Rural,2Story,Y,364356.0
4,3518,3,2068,3,2011,14884,Rural,Bungalow,Y,405367.0
4,1847,2,241,3,1990,6795,Suburb,2Story,Y,276498.0
6,4181,3,2350,2,1983,3646,Riverside,1Story,Y,490098.0
3,3952,3,1619,2,2019,18142,Suburb,2Story,Y,414697.0
6,3673,3,802,1,1994,16306,Suburb,SplitLevel,Y,448348.0
7,993,1,963,2,2007,18824,Downtown,SplitLevel,Y,340178.0
10,2167,0,68,1,2000,7956,Rural,SplitLevel,N,332233.0
10,2137,0,1152,3,1983,15928,Uptown,1Story,Y,443677.0
3,518,1,195,3,1993,11721,Downtown,2Story,Y,231564.0
7,4025,1,2187,2,1964,13157,Suburb,1Story,Y,467038.0
3,4053,0,2330,3,2019,4367,Uptown,Bungalow,Y,421111.0
2,4165,3,2359,3,1999,8696,Suburb,Bungalow,Y,416679.0
10,2944,2,745,2,1981,7190,Suburb,Bungalow,Y,478608.0
4,1500,2,1688,1,2016,6663,Rural,Bungalow,N,265212.0
8,3850,2,276,2,1952,9062,Downtown,SplitLevel,Y,491069.0
9,1350,3,60,1,2000,6331,Riverside,2Story,Y,343315.0
7,1888,0,1913,2,2016,13880,Downtown,SplitLevel,Y,391866.0
1,1854,1,2099,2,1997,18246,Uptown,2Story,Y,289871.0
3,4212,0,2200,3,1966,5262,Suburb,2Story,Y,434490.0
9,1867,3,1772,2,1956,15320,Riverside,1Story,Y,423238.0
1,1321,1,1334,2,1962,9036,Downtown,Bungalow,Y,238121.0
9,954,3,1837,1,2015,6677,Rural,2Story,Y,284491.0
8,2124,2,566,3,1953,9972,Rural,Bungalow,N,330862.0
1,3272,2,1571,1,1959,17329,Suburb,Bungalow,Y,300166.0
6,4226,3,621,1,1966,6264,Suburb,Bungalow,N,423741.0
5,3636,1,2025,3,2001,5133,Uptown,SplitLevel,Y,442183.0
6,3647,1,1200,3,1955,13612,Riverside,Bungalow,Y,432971.0
10,1210,0,313,3,2018,19849,Downtown,2Story,Y,387444.0
5,2690,2,2144,2,1958,16158,Downtown,SplitLevel,Y,403061.0
6,1416,0,1236,3,1970,11735,Uptown,Bungalow,Y,310037.0
5,4486,0,136,3,1973,3689,Downtown,1Story,Y,442063.0
5,3375,3,1029,3,1953,11763,Riverside,Bungalow,Y,416054.0
4,3152,3,2156,1,1973,9727,Rural,Bungalow,Y,351153.0
3,1996,0,661,1,2008,9764,Rural,SplitLevel,Y,243229.0
3,1940,2,2472,2,1952,15003,Downtown,2Story,Y,307500.0
4,804,3,2308,1,2017,2818,Suburb,Bungalow,Y,262382.0
9,1235,0,86,2,1989,16439,Rural,SplitLevel,Y,291069.0
2,4068,0,2123,1,1997,17077,Riverside,SplitLevel,Y,399903.0
9,2838,0,2461,3,2003,6521,Riverside,2Story,Y,456404.0
1,2463,0,1308,1,1984,3124,Downtown,SplitLevel,Y,272265.0
1,2649,0,1700,2,2005,7660,Downtown,2Story,Y,288182.0
5,2509,0,494,1,1989,7641,Downtown,1Story,Y,344137.0
6,3838,3,1647,3,2017,19513,Riverside,Bungalow,Y,508220.0
6,3414,2,1942,2,1995,3702,Suburb,SplitLevel,N,405102.0
3,3515,0,1068,3,1962,13139,Downtown,1Story,N,407104.0
7,4193,1,1424,3,1976,17702,Suburb,SplitLevel,Y,485641.0
9,3521,3,596,2,1955,8523,Suburb,SplitLevel,N,453521.0
10,3389,3,449,3,1966,14397,Riverside,1Story,Y,522807.0
8,1461,0,484,3,1985,10111,Suburb,SplitLevel,Y,350833.0
6,3489,3,645,1,1951,4401,Suburb,SplitLevel,Y,374846.0
8,4348,0,1629,3,2001,11481,Suburb,1Story,Y,498584.0
5,1526,2,661,3,2015,12067,Suburb,SplitLevel,Y,300210.0
8,2632,2,757,3,2001,15376,Downtown,2Story,Y,443121.0
10,4365,3,288,3,1992,15824,Downtown,SplitLevel,N,587863.0
4,2875,3,720,2,1971,15444,Rural,Bungalow,Y,310196.0
10,3363,1,637,1,2004,14879,Downtown,SplitLevel,Y,524223.0
8,1973,3,2282,3,2016,18112,Suburb,Bungalow,Y,440478.0
10,3001,1,2463,3,2009,2539,Suburb,Bungalow,Y,501284.0
2,2447,2,498,2,2007,12974,Uptown,SplitLevel,Y,294378.0
5,3176,2,633,3,1961,15846,Rural,1Story,Y,345657.0
9,3792,0,1673,2,2018,7615,Rural,2Story,N,463312.0
4,1677,2,2030,1,1988,18016,Rural,2Story,Y,287008.0
6,1164,1,114,1,1962,4956,Rural,SplitLevel,Y,205031.0
1,511,3,673,3,1990,10077,Downtown,1Story,Y,205513.0
9,1656,0,1736,3,2006,5722,Riverside,1Story,Y,380668.0
1,803,1,1257,3,2002,14059,Downtown,2Story,N,216422.0
5,3864,3,2253,2,1961,7087,Suburb,1Story,Y,426030.0
4,3522,0,2294,3,1962,12338,Uptown,SplitLevel,Y,395699.0
3,3871,2,146,3,2006,4170,Suburb,SplitLevel,Y,384961.0
6,2263,1,2165,1,1989,5391,Riverside,1Story,Y,361470.0
2,3330,3,411,3,1994,8942,Suburb,SplitLevel,Y,357253.0
3,542,0,1687,1,1984,15806,Riverside,Bungalow,Y,220399.0
5,1443,0,2410,3,1952,16792,Uptown,2Story,Y,327033.0
9,2890,2,1532,1,1954,14809,Riverside,SplitLevel,Y,442350.0
2,1849,3,136,3,1960,16855,Riverside,1Story,Y,251536.0
10,4385,2,18,1,2020,11108,Riverside,2Story,Y,530343.0
8,3045,2,2242,2,2005,8458,Uptown,SplitLevel,Y,498481.0
2,2911,3,2377,1,1959,4756,Suburb,2Story,Y,338813.0
5,1390,3,1959,1,1983,8853,Downtown,1Story,N,319553.0
7,2974,3,2222,1,2016,9709,Rural,Bungalow,Y,403690.0
8,1504,1,1001,3,2021,14847,Riverside,Bungalow,Y,359374.0
1,520,3,448,3,1980,19352,Uptown,SplitLevel,Y,176382.0
6,906,0,1948,3,2020,9297,Riverside,Bungalow,Y,307260.0
1,3166,2,945,2,2015,18256,Uptown,SplitLevel,Y,373790.0
2,1514,1,1377,2,2019,5203,Downtown,2Story,Y,297379.0
1,835,3,1522,1,1990,8499,Suburb,SplitLevel,Y,200232.0
5,2338,1,140,2,2012,7173,Suburb,SplitLevel,Y,302709.0
10,3688,3,1920,1,1981,19273,Downtown,SplitLevel,Y,544707.0
9,1647,1,92,1,1969,13650,Rural,Bungalow,N,312306.0
6,2946,2,238,1,2006,11173,Riverside,SplitLevel,Y,393058.0
1,3340,2,204,2,1999,9382,Uptown,1Story,Y,319810.0
1,2327,0,1456,3,1974,2801,Suburb,SplitLevel,N,230257.0
2,1214,0,244,2,1961,10234,Downtown,2Story,Y,222308.0
9,550,3,831,1,2020,15897,Suburb,1Story,Y,313316.0
3,4354,2,294,1,1988,17197,Suburb,2Story,Y,403134.0
1,823,1,855,2,1966,11969,Suburb,2Story,Y,145821.0
5,1288,1,2064,1,1994,5201,Downtown,2Story,Y,345549.0
7,640,1,70,1,1960,18733,Suburb,1Story,Y,237394.0
6,969,0,1292,2,2019,11972,Suburb,1Story,Y,287519.0
1,1286,1,1348,2,1972,2583,Riverside,Bungalow,Y,184194.0
5,2325,0,304,2,2019,14719,Downtown,1Story,Y,351285.0
5,1857,0,1030,1,1987,5377,Downtown,SplitLevel,Y,325170.0
6,2416,3,1337,1,1951,16855,Downtown,2Story,Y,416717.0
3,1463,1,816,3,2021,5401,Suburb,Bungalow,Y,259636.0
5,3555,1,1126,3,1986,15636,Rural,1Story,Y,378225.0
7,872,2,820,2,1998,17738,Uptown,2Story,Y,311378.0
5,4135,3,192,3,2001,8772,Suburb,1Story,Y,419558.0
5,3041,2,1776,1,1982,12131,Rural,Bungalow,Y,376128.0
5,4110,3,528,3,1971,2788,Suburb,1Story,Y,424643.0
10,2192,1,2218,1,1954,18184,Rural,1Story,Y,401720.0
10,3298,0,250,2,1967,4889,Downtown,2Story,Y,483304.0
3,1679,0,1788,2,1987,11569,Suburb,SplitLevel,Y,271359.0
1,2838,0,2026,1,1986,12141,Uptown,1Story,Y,306710.0
5,2171,0,2463,3,2013,13934,Uptown,Bungalow,Y,388632.0
9,3715,0,1403,2,1959,11769,Uptown,1Story,Y,477400.0
1,605,2,1167,2,1991,9612,Suburb,1Story,Y,148066.0
3,1943,3,2072,3,1997,18205,Suburb,SplitLevel,Y,350890.0
4,3217,1,1096,3,1993,15934,Riverside,2Story,Y,382568.0
1,2181,2,1847,1,1965,12095,Downtown,Bungalow,Y,290973.0
1,501,3,504,3,2003,6240,Downtown,2Story,N,190654.0
8,3136,0,1621,3,1984,12748,Downtown,2Story,Y,463189.0
2,3191,3,2383,3,1977,7298,Suburb,2Story,Y,380732.0
8,2637,3,2472,1,1951,3861,Suburb,1Story,Y,422183.0
7,3916,0,1387,1,1962,16142,Suburb,SplitLevel,Y,437376.0
10,849,0,1222,2,1990,9320,Suburb,1Story,Y,309980.0
10,4030,0,717,1,2008,13367,Riverside,Bungalow,Y,517997.0
2,1786,1,338,2,2018,19482,Downtown,SplitLevel,Y,249854.0
6,3922,0,658,3,2002,7247,Suburb,2Story,Y,425832.0
6,3679,1,961,2,1994,3734,Rural,SplitLevel,Y,399514.0
3,4157,0,428,2,1969,6663,Rural,Bungalow,Y,329858.0
2,1562,1,898,3,1973,7909,Suburb,1Story,N,236728.0
1,3456,3,138,2,2010,14818,Uptown,1Story,Y,331629.0
6,2706,2,541,1,2007,19064,Downtown,2Story,N,433924.0
5,4154,3,2104,1,1976,10163,Uptown,1Story,Y,492054.0
9,3506,3,1255,1,1975,15358,Suburb,1Story,N,481606.0
1,2859,0,2482,1,1956,8668,Downtown,Bungalow,Y,310711.0
7,3812,1,383,2,1991,15016,Riverside,SplitLevel,Y,442676.0
5,944,2,193,2,1996,10001,Rural,1Story,Y,213518.0
5,2845,0,2232,3,2002,11921,Downtown,Bungalow,N,428638.0
2,1451,0,1895,2,2008,4191,Downtown,Bungalow,Y,244659.0
3,535,0,2339,2,1987,10859,Downtown,2Story,Y,244750.0
7,1607,3,731,2,2018,10872,Rural,Bungalow,N,317726.0
6,1975,1,2163,3,2002,6922,Downtown,2Story,Y,402808.0
2,4457,1,684,1,1964,6392,Suburb,1Story,Y,373572.0
6,2298,2,81,2,1975,15541,Downtown,2Story,N,342558.0
2,2345,1,2380,3,1997,17015,Uptown,Bungalow,Y,357174.0
2,1908,1,2382,3,1968,5227,Uptown,SplitLevel,Y,290828.0
2,1695,0,531,3,1958,4024,Uptown,SplitLevel,Y,210997.0
3,1899,0,1983,1,2013,18713,Downtown,1Story,Y,324712.0
2,2208,3,220,2,2003,4486,Riverside,1Story,Y,249089.0
4,1885,0,634,3,2000,3155,Rural,SplitLevel,N,237762.0
9,3106,0,1769,1,1988,12082,Riverside,2Story,Y,455817.0
6,3438,0,2370,3,1953,6477,Suburb,1Story,Y,395054.0
1,2688,0,1874,3,1952,9086,Suburb,Bungalow,Y,272198.0
8,3434,3,2,3,2013,4317,Uptown,1Story,Y,453674.0
7,4489,0,1717,3,1978,5621,Downtown,2Story,Y,508413.0
10,3689,2,205,3,1960,6491,Suburb,1Story,Y,442816.0
3,1800,2,1855,1,2007,17916,Uptown,Bungalow,Y,291992.0
1,3273,2,39,2,1976,17248,Uptown,Bungalow,Y,319022.0
5,1743,2,2106,2,1970,4511,Riverside,Bungalow,Y,319725.0
4,4476,0,643,2,1988,11546,Rural,2Story,Y,396369.0
10,3597,2,1530,2,1995,17612,Suburb,2Story,Y,508876.0
8,1020,0,1907,1,2015,9848,Downtown,Bungalow,Y,344607.0
1,2306,3,2143,1,1985,16274,Suburb,Bungalow,Y,287397.0
10,509,2,897,1,2014,19677,Suburb,2Story,Y,334695.0
1,1483,1,1085,3,2012,4465,Suburb,2Story,Y,215934.0
4,2925,2,1279,3,1984,18304,Downtown,2Story,Y,402016.0
8,2156,2,2395,3,1980,17669,Rural,SplitLevel,Y,401552.0
5,2160,0,670,2,1977,13294,Uptown,2Story,Y,356744.0
2,3229,2,1505,3,1950,5175,Riverside,Bungalow,Y,331076.0
6,3131,1,2364,2,1974,9849,Uptown,SplitLevel,Y,436336.0
5,2699,0,718,3,1992,14473,Uptown,2Story,Y,366557.0
2,1219,0,1071,2,2016,11425,Rural,Bungalow,Y,199108.0
3,1572,3,1955,3,2012,14222,Riverside,1Story,Y,323538.0
9,3725,3,1159,3,2000,10444,Rural,SplitLevel,Y,465824.0
7,1358,2,249,1,1951,10210,Riverside,Bungalow,N,273809.0
7,1816,3,2361,3,2013,4759,Riverside,1Story,Y,409296.0
6,2103,3,1892,3,2018,18091,Riverside,Bungalow,N,385784.0
8,549,3,1853,1,1958,2002,Suburb,2Story,Y,306414.0
4,3211,0,1503,2,1951,19643,Downtown,2Story,Y,403727.0
8,3078,0,1234,1,1983,10190,Downtown,1Story,Y,444456.0
4,4183,0,43,1,2009,17248,Downtown,2Story,Y,406813.0
8,3631,3,582,2,2010,7773,Downtown,Bungalow,Y,509134.0
9,3738,0,1288,3,1980,14786,Downtown,1Story,Y,542780.0
3,3773,3,219,2,1959,17037,Suburb,Bungalow,Y,366774.0
3,3404,0,1925,3,1985,3885,Suburb,Bungalow,Y,343919.0
2,645,0,2448,3,1998,9060,Uptown,Bungalow,Y,226045.0
10,1414,1,990,2,2019,18331,Suburb,2Story,Y,393771.0
3,4247,2,1812,1,1998,9844,Rural,2Story,Y,378023.0
3,3540,3,857,2,1952,15450,Uptown,Bungalow,Y,402103.0
5,1962,1,803,3,1954,11491,Rural,SplitLevel,N,291067.0
5,2789,0,489,2,2010,11268,Riverside,Bungalow,Y,360031.0
2,1080,3,1780,2,1975,11139,Downtown,Bungalow,Y,264334.0
10,3234,0,1493,3,2021,8791,Downtown,1Story,Y,522817.0
6,2084,2,1705,1,1954,9171,Suburb,Bungalow,N,344336.0
5,982,1,2314,2,1964,19253,Downtown,2Story,Y,321764.0
6,3679,2,53,3,1965,2093,Rural,1Story,Y,373321.0
1,1749,1,615,3,1950,4987,Suburb,SplitLevel,Y,212547.0
5,1172,0,1082,2,1965,14847,Suburb,1Story,Y,241739.0
9,1130,2,1848,1,1986,11967,Downtown,SplitLevel,Y,394747.0
10,3208,2,954,2,1952,18218,Suburb,1Story,Y,453318.0
2,1161,0,2433,1,2001,12452,Rural,1Story,N,179617.0
1,4003,2,1629,1,1996,10627,Rural,SplitLevel,Y,350670.0
10,3352,3,649,1,1962,6947,Downtown,2Story,Y,511426.0
9,4226,1,2347,1,2004,8651,Downtown,2Story,Y,555494.0
10,2966,1,394,2,1970,5144,Downtown,2Story,Y,486313.0
9,1487,1,1359,3,2015,18460,Downtown,1Story,Y,401502.0
9,4026,3,2443,3,2003,10959,Riverside,Bungalow,Y,562552.0
6,3731,1,370,3,1976,10297,Downtown,1Story,Y,450977.0
8,2046,0,857,3,1987,8694,Uptown,Bungalow,Y,334687.0
1,1149,2,790,3,2007,17835,Riverside,Bungalow,Y,230483.0
10,1468,3,657,3,2011,5346,Downtown,2Story,Y,404332.0
4,3137,1,1392,2,1995,13340,Suburb,Bungalow,Y,350359.0
1,1600,0,383,1,1960,2244,Riverside,1Story,Y,175943.0
8,3056,2,2109,3,2021,4625,Uptown,1Story,N,444113.0
1,940,2,238,2,1957,5849,Suburb,2Story,Y,143214.0
3,3825,3,194,3,2020,11597,Uptown,SplitLevel,Y,385616.0
4,1420,3,2108,3,2013,9737,Uptown,1Story,N,325622.0
8,1269,3,1152,1,1970,16024,Suburb,Bungalow,Y,340436.0
6,1843,0,2015,1,2021,14000,Riverside,1Story,N,338737.0
10,2326,0,155,1,2012,10333,Suburb,1Story,Y,405076.0
7,762,3,922,3,2013,19276,Suburb,1Story,Y,315722.0
8,4168,1,1609,3,1969,9310,Riverside,SplitLevel,Y,507739.0
2,4229,2,974,3,1957,4399,Uptown,Bungalow,N,372183.0
10,4406,2,1230,1,2007,6640,Suburb,2Story,Y,502441.0
